NDBI,MVI,MI,AVVVH,VV,VH,MVHVV,GEMI,Wetness,SR38,B8A,BNDVI,CARrededge,REDVI,CVI,S2WI,WRIyou,B11,EMBI,SIPI,S2REP,MNSI,C3I3,NDTI,PSRI,SR45,GRAY,EXG,NDWIt2,BITM,NDYI,NMDI,WI,ARI,NDWIt,B5,BRI,RFDI,DVVVH,DVHVV,MIRBI,SLOPE,SR53,DCNI,CIEX,PWRI,NR3,ASPECT,CI4,NDRI2,ELEVATION,CARI,SVHVV,NPNC,SR24
-0.02565115,1.43915345,1.2132815,-17.80990805,-6.880298093,-10.92960995,75.19897453,0.620726041,-0.0718567,0.23779023,0.2933,0.76163614,5.926184,-0.002400011,3.6673243,-0.005492182,0.18717134,0.1917,0.182270018,1.0909091,717.6728599,0.089004394,-0.08953436,0.23398775,0.071371935,0.44010195,0.10922,0.22896554,-0.33408073,0.049511076,0.27467814,0.5491473,-3.3684216,8.3388405,-0.5268817,0.1177,33.38207,-0.227362873,0.629509939,1.588537271,1.311340061,13.462366,1.9814816,8.858381637,0.311457913,0.09193065,-0.058779188,341.21182,-0.14831233,0.39344263,291,0.358644151,-4.049311861,0.02371541,0.6525096
-0.01263685,1.189011141,0.4313692,-24.47795299,-9.764765691,-14.7131873,143.6708266,0.553963831,-0.09217666,0.37044218,0.3061,0.61630094,2.7591636,-0.004599989,3.0471578,-0.060606074,0.13828942,0.232,0.092183309,1.3106667,718.7466056,0.106717809,-0.112714164,0.14993803,0.17759146,0.70967746,0.147674004,0.08317579,-0.2846442,0.090344765,0.2188896,0.6198555,2.7886178,3.8879254,-0.41679388,0.1519,15.081168,-0.20215831,0.663674396,1.506762965,1.441400039,1.1045848,1.5905758,13.57350719,0.31141973,0.17742617,-0.046244867,270.0,-0.15779155,0.22807017,198,0.350046317,-4.948421612,0.4993046,0.567718
-0.10320856,2.247240763,1.9822885,-17.09390926,-6.725940038,-10.36796922,69.73433929,0.799200059,-0.040457477,0.21531346,0.3674,0.7853211,5.121635,0.06260002,3.2699175,0.04879821,0.2116048,0.2197,0.036602253,1.0369473,717.0851612,0.16779361,0.062187206,0.25435337,0.03735457,0.40972224,0.156718001,0.3259494,-0.21828358,0.065047881,0.28330785,0.6274305,-1.4919354,4.988729,-0.44777593,0.144,12.817906,-0.213060051,0.648722994,1.541489987,1.152940115,15.392853,1.718377,7.218533161,0.314809571,0.14438042,0.045814853,294.3045,0.059335906,0.37763715,249,0.466071794,-3.642029182,0.23949578,0.79322034
0.005530846,0.913073291,-0.26807517,-33.04749942,-16.12185871,-16.92564071,272.8727882,0.459984886,-0.109299512,0.36896878,0.2433,0.618683,2.9293137,0.007500008,4.2321696,-0.1402214,0.11489236,0.2241,0.165937078,1.8035713,723.7831548,0.094379505,-0.12905253,0.0945055,0.35311428,0.8712446,0.14076,-0.062499985,-0.40774485,0.08831625,0.22065727,0.6905238,0.64383566,5.6674366,-0.48361468,0.1398,26.809067,-0.024322022,0.952510986,1.049856658,1.657820004,9.893326,1.7923076,31.7672723,0.306086014,0.11838718,-0.034703206,117.65056,-0.13111386,0.20703125,247,0.286073468,-0.803781995,0.5417721,0.408867
-0.0021736,1.028043339,0.072126225,-28.92045159,-10.62993433,-18.29051726,194.4269973,0.558721059,-0.101101989,0.35272872,0.2546,0.6061876,2.0268824,0.039499998,3.0995147,-0.09090909,0.15889089,0.2448,0.177662857,1.2286087,721.7974461,0.123251399,0.052795544,0.23076925,0.16690512,0.7537255,0.138180002,0.07588741,-0.2702366,0.083055865,0.17986578,0.46158355,3.2682934,3.5334272,-0.47159603,0.1275,14.179082,-0.264884623,0.581171882,1.72066136,1.130959958,7.8054743,1.4505119,18.23004854,0.308773481,0.11794801,0.023408623,325.75388,-0.02120969,0.2284223,285,0.286151902,-7.660582927,0.44402707,0.635796
-0.03517585,1.549049552,1.2440182,-22.38318464,-9.443254418,-12.93993022,122.1950532,0.651106856,-0.082898255,0.2717197,0.2634,0.71227425,3.5488138,0.060600013,3.0507448,-0.036175694,0.19363783,0.2075,0.08893286,1.0738348,707.0278924,0.135646908,0.10941987,0.1280239,0.07302603,0.422252,0.126250004,0.22580644,-0.35702202,0.063124215,0.23577236,0.7117503,-2.2307694,6.4554825,-0.4638448,0.1492,23.080023,-0.15621887,0.729776301,1.370282918,1.570500073,1.4431838,1.963158,4.357360137,0.316483543,0.08508683,0.06918963,50.01896,0.061883155,0.43598926,173,0.467872229,-3.496675803,-0.06110281,0.7460317
-0.04390848,1.602739738,1.0521885,-27.39000164,-10.05033563,-17.33966602,174.2694631,0.622261894,-0.071288579,0.33522728,0.3138,0.64400625,2.5897002,0.037099987,3.2976472,-0.032448355,0.15274616,0.2376,0.026544902,1.2447342,719.3388069,0.147636494,0.039896876,0.1517208,0.17447264,0.71585363,0.171851998,0.09034909,-0.2446657,0.099611177,0.21510299,0.67000526,3.357144,3.3186347,-0.38219893,0.164,10.475489,-0.266131068,0.579615295,1.725282285,1.421519983,11.39113,1.5442561,12.91124411,0.315092713,0.18054748,0.018322058,129.99889,0.009560201,0.19699043,229,0.376948544,-7.289330389,0.504164,0.5843271
-0.07617708,2.798611157,2.8758223,-20.7628066,-8.274056124,-12.48875047,103.3326223,0.706551168,-0.008844989,0.25092936,0.3408,0.7303672,3.929,0.04460001,3.2668679,0.12277582,0.20434333,0.1674,-0.068447412,1.0627925,721.4177611,0.140796208,-0.013515541,0.25864664,0.05787204,0.5261489,0.141549002,0.22913507,-0.09799554,0.067082163,0.2338157,0.648621,-2.10274,4.421749,-0.3478261,0.1262,13.698107,-0.202992516,0.662520733,1.509386725,1.345479977,7.558571,1.5580248,10.51201674,0.318118352,0.12894073,-0.008903867,240.79222,-0.052816834,0.19515152,192,0.348874589,-4.21469435,0.24112147,0.7575301
-0.07936632,2.104182518,2.091552,-24.97188788,-8.988572199,-15.98331568,143.667187,0.764978117,-0.04124228,0.20005782,0.3507,0.8171789,6.808603,0.05739999,3.2793987,0.040280208,0.2024189,0.2007,0.087970152,1.0352745,719.7362981,0.147610695,0.020651052,0.29358685,0.036741767,0.38215488,0.134384,0.38955826,-0.22595078,0.051835767,0.33076924,0.58306634,-1.4453781,6.033358,-0.4872175,0.1188,17.442493,-0.280104713,0.562372187,1.778181821,1.129140002,11.458549,1.7167629,8.465724023,0.310626588,0.08857227,0.015859038,163.4022,-0.013686889,0.41419354,271,0.403710629,-6.994743484,0.13075969,0.76651984
-0.04326024,1.486621038,1.0429622,-28.13486034,-11.26792187,-16.86693847,190.0553448,0.702391102,-0.085463098,0.24326894,0.3003,0.7185629,3.1300673,0.07179999,3.3452773,-0.13790445,0.22589982,0.2375,0.162032049,1.042654,723.4943172,0.150858597,0.036100313,0.23312566,0.044280443,0.5585344,0.137271998,0.20628273,-0.3158129,0.064491293,0.19533077,0.55709,-1.7552444,4.0842824,-0.5112949,0.1119,12.937226,-0.199006376,0.668047843,1.496898777,1.149499997,2.1586955,1.4570312,12.63985172,0.299755326,0.08836616,0.024168693,149.19333,0.051282026,0.40532824,158,0.299677152,-5.599016598,0.16822429,0.8272
-0.049574994,1.409835971,0.69557786,-17.22694613,-3.732716629,-13.4942295,50.37013485,0.704250037,-0.106074172,0.29891303,0.3747,0.70212764,3.6134915,0.040800005,3.2481322,-0.04680395,0.16033134,0.293,0.11229491,1.1623276,718.4832206,0.163785202,0.008934945,0.19909966,0.12958434,0.59932655,0.180495999,0.17354198,-0.28034022,0.096009721,0.26146787,0.5817752,-14.249991,3.479237,-0.45409432,0.1782,9.454449,-0.566642097,0.276615766,3.615122937,1.085599923,20.345085,1.6200001,8.334002916,0.31179216,0.20992726,0.004915349,249.55885,-0.017880995,0.2938843,247,0.452774816,-9.761512872,0.34255186,0.6029963
-0.015649555,1.220535136,0.46504307,-21.84040559,-7.608534692,-14.23187089,108.2836834,0.570248398,-0.099291779,0.3789551,0.2758,0.62754494,2.553597,0.033000007,2.8335452,-0.093016535,0.1311481,0.2413,0.069547234,1.300248,718.0133646,0.132443007,0.036332,0.122586645,0.20268008,0.70670927,0.153636005,0.12037712,-0.29355282,0.09435783,0.24697338,0.67519265,5.3684254,3.3189614,-0.40168458,0.1565,12.211042,-0.303260678,0.534612403,1.870514031,1.52126002,1.4434,1.5194174,11.33393595,0.310824843,0.15685825,0.015315688,50.02616,-0.014503185,0.2606952,164,0.36280828,-6.623336203,0.48257372,0.56238693
0.014434321,0.82265371,-0.39600033,-28.20425895,-10.08276795,-18.121491,182.7147887,0.481021914,-0.13832198,0.49098918,0.2427,0.48763776,1.3996421,0.039199993,2.408827,-0.14312617,0.10971472,0.2771,0.079976232,1.5635147,710.6491258,0.139154294,0.16959839,0.06597423,0.280285,0.7967033,0.169919996,0.040158346,-0.32895458,0.120349157,0.17545539,0.7584507,1.6339282,2.6621015,-0.3865399,0.182,10.6612,-0.285018056,0.556398364,1.797273437,1.712420005,10.215115,1.4845024,8.065658249,0.309678687,0.15866476,0.044988472,285.63425,0.02884219,0.25219187,342,0.395529894,-8.038723055,0.46095717,0.59310347
-0.07221759,1.640732169,1.1110475,-28.39778611,-9.111914504,-19.2858716,175.7312132,0.777484826,-0.084226835,0.24207188,0.3744,0.76781124,4.7609477,0.056199998,2.9584484,-0.009461629,0.1929235,0.2664,0.131294752,1.0508312,716.6872051,0.165194599,0.051707804,0.2652577,0.049348235,0.43214753,0.157691,0.32817787,-0.2561916,0.071096203,0.2965322,0.5441746,-1.6115386,4.3294153,-0.48826817,0.1518,11.441373,-0.358265854,0.472465787,2.116555373,0.936279869,17.920097,1.6572053,6.897410767,0.311391324,0.16564979,0.03642838,303.41098,0.010683782,0.40444848,369,0.475208042,-10.1739571,0.21481483,0.75762194
-0.05041372,1.64142857,1.1696291,-21.75300437,-8.166820239,-13.58618414,110.9559236,0.673044978,-0.079424098,0.29422605,0.3092,0.7109827,3.3240929,0.069599986,3.2710285,-0.08859187,0.1595366,0.2358,0.05132561,1.159383,719.652652,0.161126192,0.095554784,0.14772451,0.1453125,0.6289223,0.158128002,0.18271603,-0.29272795,0.083073221,0.27055702,0.6857365,-11.333349,3.617131,-0.42219543,0.1466,11.109124,-0.249131743,0.601112141,1.663583101,1.440160006,11.2331915,1.5302714,10.37683209,0.307994304,0.13606264,0.05338077,222.81454,0.053040136,0.3101384,214,0.363542504,-5.419363897,0.36795256,0.59652925
